filepath,label
D:\ai_project\data\ecg_images\100_370_normal.png,normal
D:\ai_project\data\ecg_images\100_662_normal.png,normal
D:\ai_project\data\ecg_images\100_946_normal.png,normal
D:\ai_project\data\ecg_images\100_1231_normal.png,normal
D:\ai_project\data\ecg_images\100_1515_normal.png,normal
D:\ai_project\data\ecg_images\100_1809_normal.png,normal
D:\ai_project\data\ecg_images\100_2044_arrhythmia.png,arrhythmia
D:\ai_project\data\ecg_images\100_2402_normal.png,normal
D:\ai_project\data\ecg_images\100_2706_normal.png,normal
D:\ai_project\data\ecg_images\100_2998_normal.png,normal
D:\ai_project\data\ecg_images\100_3282_normal.png,normal
D:\ai_project\data\ecg_images\100_3560_normal.png,normal
D:\ai_project\data\ecg_images\100_3862_normal.png,normal
D:\ai_project\data\ecg_images\100_4170_normal.png,normal
D:\ai_project\data\ecg_images\100_4466_normal.png,normal
D:\ai_project\data\ecg_images\100_4764_normal.png,normal
D:\ai_project\data\ecg_images\100_5060_normal.png,normal
D:\ai_project\data\ecg_images\100_5346_normal.png,normal
D:\ai_project\data\ecg_images\100_5633_normal.png,normal
D:\ai_project\data\ecg_images\100_5918_normal.png,normal
D:\ai_project\data\ecg_images\100_6214_normal.png,normal
D:\ai_project\data\ecg_images\100_6527_normal.png,normal
D:\ai_project\data\ecg_images\100_6823_normal.png,normal
D:\ai_project\data\ecg_images\100_7106_normal.png,normal
D:\ai_project\data\ecg_images\100_7391_normal.png,normal
D:\ai_project\data\ecg_images\100_7670_normal.png,normal
D:\ai_project\data\ecg_images\100_7953_normal.png,normal
D:\ai_project\data\ecg_images\100_8245_normal.png,normal
D:\ai_project\data\ecg_images\100_8539_normal.png,normal
D:\ai_project\data\ecg_images\100_8837_normal.png,normal
D:\ai_project\data\ecg_images\100_9141_normal.png,normal
D:\ai_project\data\ecg_images\100_9431_normal.png,normal
D:\ai_project\data\ecg_images\100_9710_normal.png,normal
D:\ai_project\data\ecg_images\100_9998_normal.png,normal
D:\ai_project\data\ecg_images\100_10282_normal.png,normal
D:\ai_project\data\ecg_images\100_10591_normal.png,normal
D:\ai_project\data\ecg_images\100_10894_normal.png,normal
D:\ai_project\data\ecg_images\100_11191_normal.png,normal
D:\ai_project\data\ecg_images\100_11480_normal.png,normal
D:\ai_project\data\ecg_images\100_11781_normal.png,normal
D:\ai_project\data\ecg_images\100_12066_normal.png,normal
D:\ai_project\data\ecg_images\100_12350_normal.png,normal
D:\ai_project\data\ecg_images\100_12645_normal.png,normal
D:\ai_project\data\ecg_images\100_12949_normal.png,normal
D:\ai_project\data\ecg_images\100_13266_normal.png,normal
D:\ai_project\data\ecg_images\100_13562_normal.png,normal
D:\ai_project\data\ecg_images\100_13842_normal.png,normal
D:\ai_project\data\ecg_images\100_14131_normal.png,normal
D:\ai_project\data\ecg_images\100_14423_normal.png,normal
D:\ai_project\data\ecg_images\100_14710_normal.png,normal
D:\ai_project\data\ecg_images\100_15011_normal.png,normal
D:\ai_project\data\ecg_images\100_15310_normal.png,normal
D:\ai_project\data\ecg_images\100_15607_normal.png,normal
D:\ai_project\data\ecg_images\100_15899_normal.png,normal
D:\ai_project\data\ecg_images\100_16183_normal.png,normal
D:\ai_project\data\ecg_images\100_16464_normal.png,normal
D:\ai_project\data\ecg_images\100_16755_normal.png,normal
D:\ai_project\data\ecg_images\100_17058_normal.png,normal
D:\ai_project\data\ecg_images\100_17358_normal.png,normal
D:\ai_project\data\ecg_images\100_17657_normal.png,normal
D:\ai_project\data\ecg_images\100_17947_normal.png,normal
D:\ai_project\data\ecg_images\100_18227_normal.png,normal
D:\ai_project\data\ecg_images\100_18514_normal.png,normal
D:\ai_project\data\ecg_images\100_18795_normal.png,normal
D:\ai_project\data\ecg_images\100_19080_normal.png,normal
D:\ai_project\data\ecg_images\100_19388_normal.png,normal
D:\ai_project\data\ecg_images\100_19693_normal.png,normal
D:\ai_project\data\ecg_images\100_19989_normal.png,normal
D:\ai_project\data\ecg_images\100_20271_normal.png,normal
D:\ai_project\data\ecg_images\100_20554_normal.png,normal
D:\ai_project\data\ecg_images\100_20837_normal.png,normal
D:\ai_project\data\ecg_images\100_21131_normal.png,normal
D:\ai_project\data\ecg_images\100_21423_normal.png,normal
D:\ai_project\data\ecg_images\100_21729_normal.png,normal
D:\ai_project\data\ecg_images\100_22029_normal.png,normal
D:\ai_project\data\ecg_images\100_22321_normal.png,normal
D:\ai_project\data\ecg_images\100_22603_normal.png,normal
D:\ai_project\data\ecg_images\100_22881_normal.png,normal
D:\ai_project\data\ecg_images\100_23164_normal.png,normal
D:\ai_project\data\ecg_images\100_23453_normal.png,normal
D:\ai_project\data\ecg_images\100_23756_normal.png,normal
D:\ai_project\data\ecg_images\100_24053_normal.png,normal
D:\ai_project\data\ecg_images\100_24345_normal.png,normal
D:\ai_project\data\ecg_images\100_24625_normal.png,normal
D:\ai_project\data\ecg_images\100_24913_normal.png,normal
D:\ai_project\data\ecg_images\100_25197_normal.png,normal
D:\ai_project\data\ecg_images\100_25485_normal.png,normal
D:\ai_project\data\ecg_images\100_25779_normal.png,normal
D:\ai_project\data\ecg_images\100_26088_normal.png,normal
D:\ai_project\data\ecg_images\100_26387_normal.png,normal
D:\ai_project\data\ecg_images\100_26670_normal.png,normal
D:\ai_project\data\ecg_images\100_26952_normal.png,normal
D:\ai_project\data\ecg_images\100_27237_normal.png,normal
D:\ai_project\data\ecg_images\100_27536_normal.png,normal
D:\ai_project\data\ecg_images\100_27833_normal.png,normal
D:\ai_project\data\ecg_images\100_28132_normal.png,normal
D:\ai_project\data\ecg_images\100_28431_normal.png,normal
D:\ai_project\data\ecg_images\100_28727_normal.png,normal
D:\ai_project\data\ecg_images\100_29014_normal.png,normal
D:\ai_project\data\ecg_images\100_29294_normal.png,normal
D:\ai_project\data\ecg_images\100_29580_normal.png,normal
D:\ai_project\data\ecg_images\100_29873_normal.png,normal
D:\ai_project\data\ecg_images\100_30182_normal.png,normal
D:\ai_project\data\ecg_images\100_30487_normal.png,normal
D:\ai_project\data\ecg_images\100_30779_normal.png,normal
D:\ai_project\data\ecg_images\100_31065_normal.png,normal
D:\ai_project\data\ecg_images\100_31348_normal.png,normal
D:\ai_project\data\ecg_images\100_31635_normal.png,normal
D:\ai_project\data\ecg_images\100_31927_normal.png,normal
D:\ai_project\data\ecg_images\100_32224_normal.png,normal
D:\ai_project\data\ecg_images\100_32529_normal.png,normal
D:\ai_project\data\ecg_images\100_32836_normal.png,normal
D:\ai_project\data\ecg_images\100_33127_normal.png,normal
D:\ai_project\data\ecg_images\100_33403_normal.png,normal
D:\ai_project\data\ecg_images\100_33691_normal.png,normal
D:\ai_project\data\ecg_images\100_33980_normal.png,normal
D:\ai_project\data\ecg_images\100_34274_normal.png,normal
D:\ai_project\data\ecg_images\100_34575_normal.png,normal
D:\ai_project\data\ecg_images\100_34870_normal.png,normal
D:\ai_project\data\ecg_images\100_35168_normal.png,normal
D:\ai_project\data\ecg_images\100_35455_normal.png,normal
D:\ai_project\data\ecg_images\100_35736_normal.png,normal
D:\ai_project\data\ecg_images\100_36016_normal.png,normal
D:\ai_project\data\ecg_images\100_36309_normal.png,normal
D:\ai_project\data\ecg_images\100_36605_normal.png,normal
D:\ai_project\data\ecg_images\100_36916_normal.png,normal
D:\ai_project\data\ecg_images\100_37215_normal.png,normal
D:\ai_project\data\ecg_images\100_37499_normal.png,normal
D:\ai_project\data\ecg_images\100_37782_normal.png,normal
D:\ai_project\data\ecg_images\100_38071_normal.png,normal
D:\ai_project\data\ecg_images\100_38356_normal.png,normal
D:\ai_project\data\ecg_images\100_38651_normal.png,normal
D:\ai_project\data\ecg_images\100_38950_normal.png,normal
D:\ai_project\data\ecg_images\100_39252_normal.png,normal
D:\ai_project\data\ecg_images\100_39547_normal.png,normal
D:\ai_project\data\ecg_images\100_39825_normal.png,normal
D:\ai_project\data\ecg_images\100_40096_normal.png,normal
D:\ai_project\data\ecg_images\100_40382_normal.png,normal
D:\ai_project\data\ecg_images\100_40677_normal.png,normal
D:\ai_project\data\ecg_images\100_40970_normal.png,normal
D:\ai_project\data\ecg_images\100_41271_normal.png,normal
D:\ai_project\data\ecg_images\100_41567_normal.png,normal
D:\ai_project\data\ecg_images\100_41849_normal.png,normal
D:\ai_project\data\ecg_images\100_42117_normal.png,normal
D:\ai_project\data\ecg_images\100_42416_normal.png,normal
D:\ai_project\data\ecg_images\100_42697_normal.png,normal
D:\ai_project\data\ecg_images\100_42996_normal.png,normal
D:\ai_project\data\ecg_images\100_43307_normal.png,normal
D:\ai_project\data\ecg_images\100_43603_normal.png,normal
D:\ai_project\data\ecg_images\100_43892_normal.png,normal
D:\ai_project\data\ecg_images\100_44172_normal.png,normal
D:\ai_project\data\ecg_images\100_44455_normal.png,normal
D:\ai_project\data\ecg_images\100_44743_normal.png,normal
D:\ai_project\data\ecg_images\100_45030_normal.png,normal
D:\ai_project\data\ecg_images\100_45323_normal.png,normal
D:\ai_project\data\ecg_images\100_45628_normal.png,normal
D:\ai_project\data\ecg_images\100_45925_normal.png,normal
D:\ai_project\data\ecg_images\100_46204_normal.png,normal
D:\ai_project\data\ecg_images\100_46478_normal.png,normal
D:\ai_project\data\ecg_images\100_46759_normal.png,normal
D:\ai_project\data\ecg_images\100_47037_normal.png,normal
D:\ai_project\data\ecg_images\100_47334_normal.png,normal
D:\ai_project\data\ecg_images\100_47632_normal.png,normal
D:\ai_project\data\ecg_images\100_47919_normal.png,normal
D:\ai_project\data\ecg_images\100_48202_normal.png,normal
D:\ai_project\data\ecg_images\100_48486_normal.png,normal
D:\ai_project\data\ecg_images\100_48766_normal.png,normal
D:\ai_project\data\ecg_images\100_49040_normal.png,normal
D:\ai_project\data\ecg_images\100_49323_normal.png,normal
D:\ai_project\data\ecg_images\100_49618_normal.png,normal
D:\ai_project\data\ecg_images\100_49923_normal.png,normal
D:\ai_project\data\ecg_images\100_50214_normal.png,normal
D:\ai_project\data\ecg_images\100_50491_normal.png,normal
D:\ai_project\data\ecg_images\100_50771_normal.png,normal
D:\ai_project\data\ecg_images\100_51056_normal.png,normal
D:\ai_project\data\ecg_images\100_51339_normal.png,normal
D:\ai_project\data\ecg_images\100_51626_normal.png,normal
D:\ai_project\data\ecg_images\100_51921_normal.png,normal
D:\ai_project\data\ecg_images\100_52216_normal.png,normal
D:\ai_project\data\ecg_images\100_52506_normal.png,normal
D:\ai_project\data\ecg_images\100_52784_normal.png,normal
D:\ai_project\data\ecg_images\100_53063_normal.png,normal
D:\ai_project\data\ecg_images\100_53341_normal.png,normal
D:\ai_project\data\ecg_images\100_53631_normal.png,normal
D:\ai_project\data\ecg_images\100_53923_normal.png,normal
D:\ai_project\data\ecg_images\100_54219_normal.png,normal
D:\ai_project\data\ecg_images\100_54507_normal.png,normal
D:\ai_project\data\ecg_images\100_54784_normal.png,normal
D:\ai_project\data\ecg_images\100_55064_normal.png,normal
D:\ai_project\data\ecg_images\100_55343_normal.png,normal
D:\ai_project\data\ecg_images\100_55625_normal.png,normal
D:\ai_project\data\ecg_images\100_55908_normal.png,normal
D:\ai_project\data\ecg_images\100_56207_normal.png,normal
